2018-04-15T10.06.21  |285353, 052131096001
2018-04-15T10.06.21  |285432, 0531
2018-04-15T10.06.22  |285472, 21FF03D5
2018-04-15T10.06.22  |285591, 0821310B000023E490
2018-04-15T10.06.23  |285673, 0531
2018-04-15T10.06.23  |285711, 21FF03D5
2018-04-15T10.06.24  |285810, 0621312900E0CB
2018-04-15T10.06.24  |285880, 0531
2018-04-15T10.06.24  |285920, 21FF03D5
2018-04-15T10.06.25  |286009, 052131066083
2018-04-15T10.06.25  |286160, 093121FB00000000F3CC
2018-04-15T10.07.21  |345156, 082131070A070606C6
2018-04-15T10.07.21  |345284, 053121FF03D5
2018-04-15T10.07.21  |345375, 0521310960A1
2018-04-15T10.07.22  |345474, 053121FF
2018-04-15T10.07.22  |345493, 03D5
2018-04-15T10.07.22  |345604, 0821310B000023E490
2018-04-15T10.07.22  |345684, 05
2018-04-15T10.07.22  |345713, 3121FF
2018-04-15T10.07.22  |345733, 03D5
2018-04-15T10.07.22  |345833, 0621312900E0CB
2018-04-15T10.07.22  |345894, 05
2018-04-15T10.07.22  |345924, 3121FE
2018-04-15T10.07.22  |345943, 03D5
2018-04-15T10.07.22  |346033, 052031066083
2018-04-15T10.07.22  |346104, 09
2018-04-15T10.07.22  |346132, 3121FB
2018-04-15T10.07.22  |346163, 000000
2018-04-15T10.07.23  |346193, 00F3CC
2018-04-15T10.08.21  |405129, 082131070A080624C6
2018-04-15T10.08.21  |405231, 053100FF
2018-04-15T10.08.21  |405249, 03D5
2018-04-15T10.08.21  |405338, 0521310960A1
2018-04-15T10.08.22  |405460, 053121FF03D5
2018-04-15T10.08.22  |405577, 0821310B000023E490
2018-04-15T10.08.22  |405701, 053121FF03D5
2018-04-15T10.08.22  |405796, 0621312900E0CB
2018-04-15T10.08.22  |405910, 053121FF03D5
2018-04-15T10.08.22  |405995, 052131066083
2018-04-15T10.08.22  |406070, 09
2018-04-15T10.08.22  |406099, 3121FB
2018-04-15T10.08.22  |406130, 000000
2018-04-15T10.08.22  |406160, 00F3CC
2018-04-15T10.09.21  |465082, 0821
2018-04-15T10.09.21  |465151, 31070A0906A2C5
2018-04-15T10.09.21  |465254, 053121FF03D5
2018-04-15T10.09.21  |465341, 0521310960A1
2018-04-15T10.09.21  |465415, 0531
2018-04-15T10.09.22  |465454, 01FF03D5
2018-04-15T10.09.22  |465570, 0801310B000023E410
2018-04-15T10.09.22  |465655, 0531
2018-04-15T10.09.22  |465674, 21FF
2018-04-15T10.09.22  |465695, 03D5
2018-04-15T10.09.22  |465789, 0621312900E0CB
2018-04-15T10.09.22  |465906, 053121FF03D5
2018-04-15T10.09.22  |465989, 052131000083
2018-04-15T10.09.22  |466065, 09
2018-04-15T10.09.22  |466094, 3121FB
2018-04-15T10.09.22  |466154, 00000000F3CC
2018-04-15T10.10.21  |525145, 082131070A0A06A8C5
2018-04-15T10.10.21  |525274, 053121FF03D5
2018-04-15T10.10.21  |525364, 0521310960A1
2018-04-15T10.10.22  |525443, 0531
2018-04-15T10.10.22  |525462, 21FF
2018-04-15T10.10.22  |525483, 03D5
2018-04-15T10.10.22  |525603, 0821310B000023E490
2018-04-15T10.10.22  |525675, 05
2018-04-15T10.10.22  |525703, 3121FF
2018-04-15T10.10.22  |525724, 03D5
2018-04-15T10.10.22  |525822, 0621312900E0CB
2018-04-15T10.10.22  |525934, 053121FF03D5
2018-04-15T10.10.22  |526021, 052131066083
2018-04-15T10.10.22  |526093, 09
2018-04-15T10.10.22  |526123, 3121FB
2018-04-15T10.10.22  |526185, 00000000F3CC
2018-04-15T10.11.21  |585117, 082131070A0B062EC6
2018-04-15T10.11.21  |585255, 053121FF03D5
2018-04-15T10.11.22  |585336, 0521310960A1
2018-04-15T10.11.22  |585465, 053121FF03D5
2018-04-15T10.11.22  |585575, 0801000B000023E490
2018-04-15T10.11.22  |585664, 0531
2018-04-15T10.11.22  |585704, 01FF03D5
2018-04-15T10.11.22  |585795, 0621312900E0CB
2018-04-15T10.11.22  |585917, 053121FF03D5
2018-04-15T10.11.22  |586004, 052131066083
2018-04-15T10.11.22  |586085, 0931
2018-04-15T10.11.22  |586164, 21FB00000000F3CC
2018-04-15T10.12.21  |645160, 082131070A0C06BCC5
2018-04-15T10.12.21  |645264, 053121FF03D5
2018-04-15T10.12.21  |645350, 0521310960A1
2018-04-15T10.12.22  |645454, 053121FF
2018-04-15T10.12.22  |645472, 03D5
2018-04-15T10.12.22  |645588, 0821310B000023E490
2018-04-15T10.12.22  |645673, 0531
2018-04-15T10.12.22  |645712, 21FF0315
2018-04-15T10.12.22  |645808, 062131290080CB
2018-04-15T10.12.22  |645872, 05
2018-04-15T10.12.22  |645901, 3121FF
2018-04-15T10.12.22  |645924, 03D5
2018-04-15T10.12.22  |646007, 052131066083
2018-04-15T10.12.22  |646083, 09
2018-04-15T10.12.22  |646173, 3121FB00000000F3CC
2018-04-15T10.13.21  |705163, 082131070A0D063AC6
2018-04-15T10.13.21  |705267, 053121FF03D5
2018-04-15T10.13.21  |705352, 0521310960A1
2018-04-15T10.13.22  |705465, 053121FF0381
2018-04-15T10.13.22  |705581, 0821310B000023E490
2018-04-15T10.13.22  |705675, 053121FF
2018-04-15T10.13.22  |705696, 03D5
2018-04-15T10.13.22  |705791, 0621312900E0CB
2018-04-15T10.13.22  |705887, 053121FF
2018-04-15T10.13.22  |705905, 03D5
2018-04-15T10.13.22  |705990, 052131066083
2018-04-15T10.13.22  |706067, 01
2018-04-15T10.13.23  |706097, 310183
2018-04-15T10.13.23  |706125, 000000
2018-04-15T10.13.23  |706156, 00F3CC
2018-04-15T10.14.21  |765146, 082131070A0E0630C6
2018-04-15T10.14.21  |765271, 053121FF03D5
2018-04-15T10.14.21  |765355, 0521310960A1
2018-04-15T10.14.21  |765441, 0531
2018-04-15T10.14.22  |765481, 21FF03D5
2018-04-15T10.14.22  |765594, 0821310B000023E480
2018-04-15T10.14.22  |765721, 053101FF03D5
2018-04-15T10.14.22  |765813, 0621312900E0C3
2018-04-15T10.14.22  |765930, 053121FF03D5
2018-04-15T10.14.22  |766013, 052131066083
2018-04-15T10.14.22  |766181, 093100FB00000000F3CC
2018-04-15T10.15.21  |825169, 082131070A0F06B6C5
2018-04-15T10.15.21  |825243, 0531
2018-04-15T10.15.21  |825283, 21FF03D5
2018-04-15T10.15.21  |825368, 0521310960A1
2018-04-15T10.15.22  |825453, 0531
2018-04-15T10.15.22  |825493, 21FF0380
2018-04-15T10.15.22  |825608, 0821310B000023E490
2018-04-15T10.15.22  |825733, 053121FF03D5
2018-04-15T10.15.22  |825827, 0621312900E0CB
2018-04-15T10.15.22  |825943, 053121FF03D5
2018-04-15T10.15.22  |826026, 052131066083
2018-04-15T10.15.22  |826105, 09
2018-04-15T10.15.22  |826133, 3121FB
2018-04-15T10.15.22  |826194, 00000000F3CC
2018-04-15T10.16.21  |885132, 082131070A100674C6
2018-04-15T10.16.21  |885258, 053121FF03D5
2018-04-15T10.16.21  |885341, 0521310960A1
2018-04-15T10.16.21  |885428, 0531
2018-04-15T10.16.22  |885448, 21FF
2018-04-15T10.16.22  |885467, 03D5
2018-04-15T10.16.22  |885580, 0821310B000023E490
2018-04-15T10.16.22  |885668, 0531
2018-04-15T10.16.22  |885707, 21FF03D5
2018-04-15T10.16.22  |885799, 0621312900E0CB
2018-04-15T10.16.22  |885918, 053121FF03D5
2018-04-15T10.16.22  |885998, 052131066083
2018-04-15T10.16.22  |886108, 093121FB
2018-04-15T10.16.22  |886149, 00000000
2018-04-15T10.16.22  |886167, F3CC
2018-04-15T10.17.21  |945165, 082131070A1106F2C5
2018-04-15T10.17.21  |945279, 053121FF03D5
2018-04-15T10.17.21  |945364, 0521310960A1
2018-04-15T10.17.21  |945450, 0531
2018-04-15T10.17.22  |945489, 21FF02D5
2018-04-15T10.17.22  |945604, 0821310B000023E490
2018-04-15T10.17.22  |945679, 05
2018-04-15T10.17.22  |945729, 3121FF03D5
2018-04-15T10.17.22  |945823, 0621312900E0CB
2018-04-15T10.17.22  |945920, 053121FF
2018-04-15T10.17.22  |945939, 03D5
2018-04-15T10.17.22  |946022, 052131066083
2018-04-15T10.17.22  |946100, 09
2018-04-15T10.17.22  |946130, 3121FB
2018-04-15T10.17.22  |946189, 00000000F3CC
2018-04-15T10.18.21  |1005118, 082131070A1206F8C5
2018-04-15T10.18.21  |1005246, 053121FF03D5
2018-04-15T10.18.21  |1005327, 0521310960A1
2018-04-15T10.18.21  |1005437, 053121FF
2018-04-15T10.18.22  |1005455, 03D5
2018-04-15T10.18.22  |1005566, 0821310B000023E490
2018-04-15T10.18.22  |1005657, 0531
2018-04-15T10.18.22  |1005675, 21FF
2018-04-15T10.18.22  |1005696, 03D5
2018-04-15T10.18.22  |1005795, 0021312900E0CB
2018-04-15T10.18.22  |1005867, 0531
2018-04-15T10.18.22  |1005884, 21FF
2018-04-15T10.18.23  |1005905, 03D5
2018-04-15T10.18.23  |1005995, 052131066083
2018-04-15T10.18.23  |1006065, 09
2018-04-15T10.18.23  |1006114, 3121C30000
2018-04-15T10.18.23  |1006154, 0000F380
2018-04-15T10.19.21  |1065151, 082131070A13067EC6
2018-04-15T10.19.21  |1065254, 053121FF03D5
2018-04-15T10.19.21  |1065341, 0521310960A1
2018-04-15T10.19.22  |1065463, 053121FF03D5
2018-04-15T10.19.22  |1065580, 0821310B000023E490
2018-04-15T10.19.22  |1065654, 05
2018-04-15T10.19.22  |1065703, 3121FF03D5
2018-04-15T10.19.22  |1065799, 0621212900E0CB
2018-04-15T10.19.22  |1065912, 053121FF03D5
2018-04-15T10.19.22  |1065998, 000131066083
2018-04-15T10.19.22  |1066132, 093121FB000000
2018-04-15T10.19.22  |1066163, 00F3CC
2018-04-15T10.20.21  |1125154, 082131070A1406ECC5
2018-04-15T10.20.22  |1125262, 053121FF
2018-04-15T10.20.22  |1125281, 03D5
2018-04-15T10.20.22  |1125363, 0501310960A1
2018-04-15T10.20.23  |1125454, 0531
2018-04-15T10.20.23  |1125471, 21FF
2018-04-15T10.20.23  |1125493, 03D5
2018-04-15T10.20.23  |1125612, 0021310B000023E490
2018-04-15T10.20.23  |1125695, 0531
2018-04-15T10.20.24  |1125734, 21FF03D5
2018-04-15T10.20.24  |1125831, 0621312900E0CB
2018-04-15T10.20.24  |1125892, 05
2018-04-15T10.20.24  |1125944, 3121FF03D5
2018-04-15T10.20.24  |1126031, 052131066083
2018-04-15T10.20.24  |1126165, 093121FB00000000F3CC
2018-04-15T10.21.21  |1185157, 082131070A15066AC6
2018-04-15T10.21.21  |1185242, 053121FF
2018-04-15T10.21.21  |1185260, 03D5
2018-04-15T10.21.21  |1185346, 0521310900A1
2018-04-15T10.21.22  |1185472, 053121FF03D5
2018-04-15T10.21.22  |1185586, 0821310B000023E490
2018-04-15T10.21.22  |1185671, 0531
2018-04-15T10.21.22  |1185690, 21FF
2018-04-15T10.21.22  |1185710, 03D5
2018-04-15T10.21.22  |1185805, 0621312900E0CB
2018-04-15T10.21.22  |1185921, 053121FF03D5
2018-04-15T10.21.22  |1186004, 052131066083
2018-04-15T10.21.22  |1186111, 093121FB
2018-04-15T10.21.22  |1186172, 00000000F3CC
2018-04-15T10.22.21  |1245170, 082131070A160660C6
2018-04-15T10.22.21  |1245246, 05
2018-04-15T10.22.21  |1245297, 3121FF03D5
2018-04-15T10.22.21  |1245379, 0521310960A1
2018-04-15T10.22.22  |1245457, 05
2018-04-15T10.22.22  |1245506, 3121FF03D5
2018-04-15T10.22.22  |1245618, 0821310B000023E490
2018-04-15T10.22.22  |1245747, 053121FF03D5
2018-04-15T10.22.22  |1245837, 0621312900E0CB
2018-04-15T10.22.22  |1245906, 0531
2018-04-15T10.22.22  |1245946, 21FF03D5
2018-04-15T10.22.22  |1246027, 052131066083
2018-04-15T10.22.22  |1246166, 093121FB00000000F3CC
2018-04-15T10.23.21  |1305163, 082131070A1706E6C5
2018-04-15T10.23.21  |1305221, 05
2018-04-15T10.23.21  |1305270, 3121FF03D5
2018-04-15T10.23.21  |1305352, 0521310960A1
2018-04-15T10.23.22  |1305430, 0531
2018-04-15T10.23.22  |1305470, 21FF03D5
2018-04-15T10.23.22  |1305581, 0821310B000023E490
2018-04-15T10.23.22  |1305710, 053121FF03C0
2018-04-15T10.23.22  |1305810, 0621312900E0CB
2018-04-15T10.23.22  |1305920, 053121FF00C1
2018-04-15T10.23.22  |1306010, 012131066083
2018-04-15T10.23.22  |1306081, 09
2018-04-15T10.23.22  |1306112, 0121FB
2018-04-15T10.23.22  |1306140, 000000
